,Unnamed_ 0,PLOT_ID,LON,LAT,CLASS,MONTH,ACTUAL,CLASS_WET,CLEAR_OBS,PREDICTION,STARTDATE,ENDDATE,geometry,index_right,ID,CODE,COUNTRY
2836,785,137387099.0,38.94429333,8.365522882,Open water - freshwater,3,0,1.0,5.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2837,786,137387099.0,38.94429333,8.365522882,Open water - freshwater,5,0,1.0,4.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2838,788,137387099.0,38.94429333,8.365522882,Open water - freshwater,1,1,1.0,3.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2839,789,137387099.0,38.94429333,8.365522882,Open water - freshwater,2,1,1.0,5.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2840,791,137387099.0,38.94429333,8.365522882,Open water - freshwater,8,1,1.0,3.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2841,792,137387099.0,38.94429333,8.365522882,Open water - freshwater,9,1,1.0,4.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2842,793,137387099.0,38.94429333,8.365522882,Open water - freshwater,10,1,1.0,6.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2843,794,137387099.0,38.94429333,8.365522882,Open water - freshwater,11,1,1.0,5.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2844,795,137387099.0,38.94429333,8.365522882,Open water - freshwater,12,1,1.0,5.0,1,,,POINT (3757590.000411499 1063530.000018802),0,,,Eastern
2845,796,137387100.0,34.36032555,8.204685872,Open water - freshwater,1,1,1.0,4.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2846,797,137387100.0,34.36032555,8.204685872,Open water - freshwater,2,1,1.0,2.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2847,798,137387100.0,34.36032555,8.204685872,Open water - freshwater,3,1,1.0,4.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2848,799,137387100.0,34.36032555,8.204685872,Open water - freshwater,4,1,1.0,4.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2849,800,137387100.0,34.36032555,8.204685872,Open water - freshwater,5,1,1.0,4.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2850,801,137387100.0,34.36032555,8.204685872,Open water - freshwater,7,1,1.0,3.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2851,802,137387100.0,34.36032555,8.204685872,Open water - freshwater,8,1,1.0,1.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2852,803,137387100.0,34.36032555,8.204685872,Open water - freshwater,9,1,1.0,2.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2853,804,137387100.0,34.36032555,8.204685872,Open water - freshwater,10,1,1.0,3.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2854,805,137387100.0,34.36032555,8.204685872,Open water - freshwater,11,1,1.0,4.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2855,806,137387100.0,34.36032555,8.204685872,Open water - freshwater,12,1,1.0,3.0,1,,,POINT (3315300.00052934 1043220.00001413),0,,,Eastern
2856,808,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,2,0,0.0,3.0,0,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2857,809,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,3,0,0.0,5.0,0,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2858,810,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,4,0,0.0,4.0,0,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2859,811,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,5,0,0.0,4.0,0,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2860,812,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,1,1,1.0,2.0,1,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2861,813,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,7,1,0.0,3.0,0,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2862,814,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,8,1,1.0,1.0,1,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2863,815,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,9,1,1.0,2.0,1,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2864,816,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,10,1,1.0,3.0,1,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2865,817,137387101.0,34.35721629,8.196847588999999,Open water - freshwater,11,1,1.0,3.0,1,,,POINT (3314999.999597606 1042230.000022806),0,,,Eastern
2866,821,137387102.0,38.77919213,8.083565493,Open water - freshwater,1,1,1.0,6.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2867,822,137387102.0,38.77919213,8.083565493,Open water - freshwater,2,1,1.0,4.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2868,823,137387102.0,38.77919213,8.083565493,Open water - freshwater,3,1,1.0,4.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2869,824,137387102.0,38.77919213,8.083565493,Open water - freshwater,4,1,1.0,3.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2870,825,137387102.0,38.77919213,8.083565493,Open water - freshwater,5,1,1.0,3.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2871,826,137387102.0,38.77919213,8.083565493,Open water - freshwater,6,1,1.0,2.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2872,827,137387102.0,38.77919213,8.083565493,Open water - freshwater,7,1,1.0,3.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2873,828,137387102.0,38.77919213,8.083565493,Open water - freshwater,8,1,1.0,3.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2874,829,137387102.0,38.77919213,8.083565493,Open water - freshwater,9,1,1.0,3.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2875,830,137387102.0,38.77919213,8.083565493,Open water - freshwater,10,1,1.0,7.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2876,831,137387102.0,38.77919213,8.083565493,Open water - freshwater,11,1,1.0,11.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2877,832,137387102.0,38.77919213,8.083565493,Open water - freshwater,12,1,1.0,10.0,1,,,POINT (3741659.99975854 1027919.99994289),0,,,Eastern
2878,833,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,1,0,0.0,6.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2879,834,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,2,0,0.0,3.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2880,835,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,3,0,0.0,3.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2881,836,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,4,0,0.0,4.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2882,837,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,5,0,0.0,3.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2883,838,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,6,0,0.0,1.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2884,839,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,7,0,0.0,3.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2885,840,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,8,0,0.0,2.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2886,841,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,9,0,0.0,2.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
2887,842,137387103.0,33.757441899999996,7.996665661000002,Herbaceous/Grassland,10,0,0.0,3.0,0,,,POINT (3257129.999716756 1016940.000014417),0,,,Eastern
